Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
LAD,NL,1965,608,521,97,0.31,0.34,0.24,1,2.00,1.00,162,NaN,NaN
MIN,AL,1965,774,600,102,0.32,0.40,0.25,1,1.00,2.00,162,NaN,NaN
MLN,NL,1965,708,633,86,0.31,0.42,0.26,0,NaN,NaN,162,NaN,NaN
NYM,NL,1965,495,752,50,0.28,0.33,0.22,0,NaN,NaN,164,NaN,NaN
NYY,AL,1965,611,604,77,0.30,0.36,0.23,0,NaN,NaN,162,NaN,NaN
PHI,NL,1965,654,667,85,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
PIT,NL,1965,675,580,90,0.32,0.38,0.27,0,NaN,NaN,163,NaN,NaN
SFG,NL,1965,682,593,95,0.31,0.39,0.25,0,NaN,NaN,163,NaN,NaN
STL,NL,1965,707,674,80,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
WSA,AL,1965,591,721,70,0.30,0.35,0.23,0,NaN,NaN,162,NaN,NaN
BAL,AL,1964,679,567,97,0.32,0.39,0.25,0,NaN,NaN,163,NaN,NaN
BOS,AL,1964,688,793,72,0.32,0.42,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1964,649,724,76,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
CHW,AL,1964,642,501,98,0.32,0.35,0.25,0,NaN,NaN,162,NaN,NaN
CIN,NL,1964,660,566,92,0.31,0.37,0.25,0,NaN,NaN,163,NaN,NaN
CLE,AL,1964,689,693,79,0.31,0.38,0.25,0,NaN,NaN,164,NaN,NaN
DET,AL,1964,699,678,85,0.32,0.40,0.25,0,NaN,NaN,163,NaN,NaN
HOU,NL,1964,495,628,66,0.28,0.32,0.23,0,NaN,NaN,162,NaN,NaN
KCA,AL,1964,621,836,57,0.31,0.38,0.24,0,NaN,NaN,163,NaN,NaN
LAA,AL,1964,544,551,82,0.30,0.34,0.24,0,NaN,NaN,162,NaN,NaN
LAD,NL,1964,614,572,80,0.30,0.34,0.25,0,NaN,NaN,164,NaN,NaN
MIN,AL,1964,737,678,79,0.32,0.43,0.25,0,NaN,NaN,163,NaN,NaN
MLN,NL,1964,803,744,88,0.33,0.42,0.27,0,NaN,NaN,162,NaN,NaN
NYM,NL,1964,569,776,53,0.30,0.35,0.25,0,NaN,NaN,163,NaN,NaN
NYY,AL,1964,730,577,99,0.32,0.39,0.25,1,1.00,2.00,164,NaN,NaN
PHI,NL,1964,693,632,92,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
PIT,NL,1964,663,636,80,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1964,656,587,90,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1964,715,652,93,0.32,0.39,0.27,1,2.00,1.00,162,NaN,NaN
WSA,AL,1964,578,733,62,0.30,0.35,0.23,0,NaN,NaN,162,NaN,NaN
BAL,AL,1963,644,621,86,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
BOS,AL,1963,666,704,76,0.31,0.40,0.25,0,NaN,NaN,161,NaN,NaN
CHC,NL,1963,570,578,82,0.30,0.36,0.24,0,NaN,NaN,162,NaN,NaN
CHW,AL,1963,683,544,94,0.32,0.36,0.25,0,NaN,NaN,162,NaN,NaN
CIN,NL,1963,648,594,86,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
CLE,AL,1963,635,702,79,0.30,0.38,0.24,0,NaN,NaN,162,NaN,NaN
DET,AL,1963,700,703,79,0.33,0.38,0.25,0,NaN,NaN,162,NaN,NaN
HOU,NL,1963,464,640,66,0.28,0.30,0.22,0,NaN,NaN,162,NaN,NaN
KCA,AL,1963,615,704,73,0.31,0.35,0.25,0,NaN,NaN,162,NaN,NaN
LAA,AL,1963,597,660,70,0.31,0.35,0.25,0,NaN,NaN,161,NaN,NaN
LAD,NL,1963,640,550,99,0.31,0.36,0.25,1,2.00,1.00,163,NaN,NaN
MIN,AL,1963,767,602,91,0.33,0.43,0.26,0,NaN,NaN,161,NaN,NaN
MLN,NL,1963,677,603,84,0.31,0.37,0.24,0,NaN,NaN,163,NaN,NaN
NYM,NL,1963,501,774,51,0.28,0.32,0.22,0,NaN,NaN,162,NaN,NaN
NYY,AL,1963,714,547,104,0.31,0.40,0.25,1,1.00,2.00,161,NaN,NaN
PHI,NL,1963,642,578,87,0.31,0.38,0.25,0,NaN,NaN,162,NaN,NaN
PIT,NL,1963,567,595,74,0.31,0.36,0.25,0,NaN,NaN,162,NaN,NaN
SFG,NL,1963,725,641,88,0.32,0.41,0.26,0,NaN,NaN,162,NaN,NaN
STL,NL,1963,747,628,93,0.33,0.40,0.27,0,NaN,NaN,162,NaN,NaN
WSA,AL,1963,578,812,56,0.29,0.35,0.23,0,NaN,NaN,162,NaN,NaN
BAL,AL,1962,652,680,77,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
BOS,AL,1962,707,756,76,0.32,0.40,0.26,0,NaN,NaN,160,NaN,NaN
CHC,NL,1962,632,827,59,0.32,0.38,0.25,0,NaN,NaN,162,NaN,NaN
CHW,AL,1962,707,658,85,0.33,0.37,0.26,0,NaN,NaN,162,NaN,NaN
CIN,NL,1962,802,685,98,0.33,0.42,0.27,0,NaN,NaN,162,NaN,NaN
CLE,AL,1962,682,745,80,0.31,0.39,0.24,0,NaN,NaN,162,NaN,NaN
DET,AL,1962,758,692,85,0.33,0.41,0.25,0,NaN,NaN,161,NaN,NaN
HOU,NL,1962,592,717,64,0.31,0.35,0.25,0,NaN,NaN,162,NaN,NaN
KCA,AL,1962,745,837,72,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
LAA,AL,1962,718,706,86,0.33,0.38,0.25,0,NaN,NaN,162,NaN,NaN
LAD,NL,1962,842,697,102,0.34,0.40,0.27,0,NaN,NaN,165,NaN,NaN
MIN,AL,1962,798,713,91,0.34,0.41,0.26,0,NaN,NaN,163,NaN,NaN
MLN,NL,1962,730,665,86,0.33,0.40,0.25,0,NaN,NaN,162,NaN,NaN
NYM,NL,1962,617,948,40,0.32,0.36,0.24,0,NaN,NaN,161,NaN,NaN
NYY,AL,1962,817,680,96,0.34,0.43,0.27,1,2.00,1.00,162,NaN,NaN
PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,NaN,NaN,161,NaN,NaN
PIT,NL,1962,706,626,93,0.32,0.39,0.27,0,NaN,NaN,161,NaN,NaN
SFG,NL,1962,878,690,103,0.34,0.44,0.28,1,1.00,2.00,165,NaN,NaN
STL,NL,1962,774,664,84,0.34,0.39,0.27,0,NaN,NaN,163,NaN,NaN
WSA,AL,1962,599,716,60,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
